osmid,y,x
9377942194,10.7715391,106.7169589
9377942196,10.7714055,106.716998
9377942197,10.7711335,106.717073
9377942198,10.7710159,106.7171021
9377942200,10.7708272,106.7169783
10198715117,10.7874527,106.7336734
10198715118,10.7869641,106.7338843
10198715119,10.785174,106.7297629
10198715121,10.7851347,106.7297124
10198715126,10.7854016,106.7297472
10198715127,10.7859774,106.7308407
10198715128,10.785369,106.729677
10198715129,10.785344,106.729613
10198715130,10.7868997,106.7328726
10198715132,10.7858102,106.7304888
11287005949,10.7705904,106.7035606
11393829700,10.7915345,106.7021725
11393829701,10.7913819,106.7023469
11341401069,10.7715044,106.713299
11341401070,10.7719001,106.7132263
11341401071,10.7733172,106.7130801
11341401072,10.77353,106.7133313
11341401073,10.7735565,106.7133594
11341401074,10.7738311,106.7134906
11341401075,10.7739623,106.7135354
11341401076,10.7742736,106.7135667
11341401077,10.7749298,106.7136336
11341401078,10.7749842,106.7136101
11341401079,10.7733268,106.7131745
11341401080,10.7731622,106.7131846
11341401081,10.7728211,106.7132129
11341401082,10.7723764,106.7132583
11341401083,10.7721767,106.7132817
11341401084,10.7720519,106.7132987
11341401085,10.7717257,106.7133495
11341401086,10.7715785,106.7133793
11341401087,10.7714189,106.7134117
11341401088,10.7723678,106.7131658
11341401089,10.7727185,106.7133562
11341401090,10.7730943,106.7133206
11341401091,10.7734442,106.7133895
11341401092,10.7731106,106.7134117
11341401093,10.7720636,106.7134299
11341401094,10.7721195,106.7135155
11341401095,10.7718407,106.7135574
11341401096,10.7715442,106.7136145
11341401097,10.7717342,106.7134838
11341401098,10.7711364,106.7133848
11341401099,10.7711527,106.7134788
11341401100,10.7711747,106.7136082
11341401101,10.7711897,106.7137048
11341401102,10.7723902,106.71339
11341401103,10.7724,106.7134825
11341401106,10.7724863,106.713152
11341401107,10.7725064,106.7133771
11341401108,10.7725147,106.7134705
11341401122,10.7722513,106.7131793
11341401123,10.7722592,106.713272
11341401124,10.7722705,106.7134033
11341401162,10.7707928,106.7124911
11341401163,10.7711758,106.7147342
13116116173,10.7911279,106.7217026
13116116174,10.7912882,106.7218239
13116116175,10.7911676,106.7217349
11294870756,10.7806722,106.7005323
11287006566,10.7710504,106.7011208
8383237482,10.764711,106.7238195
9403108732,10.7751332,106.7007237
9403108730,10.7751104,106.7006681
9403108731,10.7752934,106.701115
9403108733,10.7771894,106.6995088
9438629602,10.785788,106.7022458
4066381579,10.7925882,106.6993085
4066381580,10.792164,106.6995478
10289287257,10.7879686,106.7056678
10289287322,10.7892893,106.7041836
10289287326,10.7884204,106.7051601
6665408684,10.7912763,106.7425847
6754275613,10.7656167,106.7008952
6754275614,10.7657276,106.7010628
11054354856,10.7805015,106.7031552
11873554919,10.7756762,106.7025038
4066906683,10.7837478,106.7193245
4066906684,10.7834018,106.7195041
4066906685,10.7826209,106.7199293
10939535938,10.7893954,106.7297422
6534599271,10.7740427,106.7039448
1775768236,10.7891171,106.7154104
1775768260,10.7891154,106.7150158
1775768308,10.789138,106.7156245
9316733961,10.778385,106.7224
9316733962,10.7787715,106.7221194
9316733963,10.7786053,106.7225648
9316733964,10.7784683,106.7219502
9316733967,10.7707388,106.7240198
9316733968,10.7706142,106.7242281
9316733969,10.7705791,106.724021
9316733970,10.7707719,106.7242398
4066907391,10.7809442,106.7209709
4066907401,10.7872849,106.7174331
4066907402,10.7892579,106.7170066
4066907403,10.7887347,106.7171535
4066907404,10.7887973,106.7165571
4066907405,10.7891805,106.7163137
4066907406,10.7890928,106.7158475
