u,v,osmid,highway,length,geometry
6720471785,6720471783,715000345,residential,32.49263617625544,"LINESTRING (106.6762722 10.7913911, 106.6762952 10.7912747, 106.6761212 10.7912441)"
6720471789,710021197,154823448,tertiary,13.401057042436731,"LINESTRING (106.6775713 10.7921048, 106.6774579 10.7920588)"
6720471789,6720471790,715000347,living_street,28.360997682867065,"LINESTRING (106.6775713 10.7921048, 106.6774189 10.7923113)"
6720471789,710021192,154823448,tertiary,25.79902464526355,"LINESTRING (106.6775713 10.7921048, 106.6776269 10.7921273, 106.6777933 10.7921838)"
6720471790,6720471789,715000347,living_street,28.360997682867065,"LINESTRING (106.6774189 10.7923113, 106.6775713 10.7921048)"
6720471791,6720471816,56725525,residential,4.618288303188974,"LINESTRING (106.6772859 10.7925767, 106.6772489 10.7925968)"
6720471791,6720471806,56725525,residential,6.644515308624865,"LINESTRING (106.6772859 10.7925767, 106.6773392 10.7925479)"
6720471791,6720471792,715000348,residential,39.992068446661676,"LINESTRING (106.6772859 10.7925767, 106.6771357 10.7922487)"
6720471792,6720471791,715000348,residential,39.992068446661676,"LINESTRING (106.6771357 10.7922487, 106.6772859 10.7925767)"
6720471793,710021192,1227071565,service,15.85730035208318,"LINESTRING (106.6776893 10.7922833, 106.6777933 10.7921838)"
6720471793,6720471797,715000349,service,28.525822121531913,"LINESTRING (106.6776893 10.7922833, 106.6777728 10.79236, 106.677748 10.7923947, 106.6777993 10.7924434, 106.6778312 10.7924382)"
6720471793,6720471800,1227071565,service,28.46669320740225,"LINESTRING (106.6776893 10.7922833, 106.6776693 10.7923024, 106.6774962 10.7924552)"
6720471797,6720471793,715000349,service,28.525822121531913,"LINESTRING (106.6778312 10.7924382, 106.6777993 10.7924434, 106.677748 10.7923947, 106.6777728 10.79236, 106.6776893 10.7922833)"
6720471800,6720471806,56725525,residential,20.07957246778394,"LINESTRING (106.6774962 10.7924552, 106.6774739 10.7924749, 106.6773392 10.7925479)"
